primitive_id,primitive_name,substrate_family,capability,what_it_could_unlock,mechanism,technology_readiness_level,venture_shape,translational_gap,closest_companies
ai-lnp-design,AI for mRNA / LNP design,C,Ionizable lipid and formulation prediction,Extrahepatic and cell-selective LNP delivery,ML over chemistry libraries predicts lipids and ratios for target tissues,5,translational startup / prototype / first clinical collaborator,"Proprietary in-vivo screening data, no AI-designed LNP in the clinic yet",Mana.bio | Aganitha AI
ai-lnp-design,AI for mRNA / LNP design,C,Endosomal escape and encapsulation prediction,Higher delivery efficiency per dose,Models predict endosomal escape and RNA encapsulation architecture,4,translational startup / prototype / first clinical collaborator,"Mechanistic training data, wet-lab validation",
ai-lnp-design,AI for mRNA / LNP design,C,mRNA UTR and codon optimisation,"Durable, high-expression, low-immunogenicity mRNA",Sequence models optimise UTRs and open reading frames,5,translational startup / prototype / first clinical collaborator,"Expression validation, immunogenicity prediction",Raina Biosciences | Atomic AI | InstaDeep
ai-medical-imaging,AI medical imaging,C,Radiology triage and detection,"Faster stroke, PE, and bleed workflows; worklist prioritisation; multi-condition foundation-model reads",Models flag critical findings on CT/MRI/X-ray and reorder the reading worklist,9,product differentiation / distribution / data moat,"Scanner/site generalisation, alert fatigue, reimbursement, EHR/PACS integration",Aidoc | Forus Health
ai-medical-imaging,AI medical imaging,C,Computational pathology,"Whole-slide primary diagnosis, biomarker prediction from H&E, treatment-decision support","Networks read digitised slides to detect tumour, grade, and predict molecular status",8,product differentiation / distribution / data moat,"Slide digitisation capex, stain/scanner variability, pathologist trust, reimbursement",Paige | PathAI
ai-trial-operations,AI for clinical trial operations,B,AI patient matching and site or feasibility selection,faster enrolment and better-chosen sites by surfacing eligible patients from messy records,NLP parses structured and unstructured EHR data against protocol eligibility criteria in near real time,8,product differentiation / distribution / data moat,"matching quality depends on EHR access and data quality, and site or clinician workflow adoption is slow",Deep 6 AI | Inato
ai-trial-operations,AI for clinical trial operations,B,regulatory and safety document automation,faster submissions and pharmacovigilance by drafting and structuring trial and safety documents,"LLMs generate and structure protocols, submissions, and adverse-event narratives from source data",7,seed-stage commercialisation / regulatory strategy / pilots,"regulated documents need human review and validation, so autonomy is capped by liability and audit needs",
biohybrid-microbots,Biohybrid xenobots / microbots,E,Living self-propelled micro-actuators,"Local drug delivery, tissue repair, microsurgery",Living cells or bacteria provide motility and interaction with tissue,3,research programme / grant / academic spinout,"Control, clearance, immune response, manufacturing",
biohybrid-microbots,Biohybrid xenobots / microbots,E,Externally actuated medical microrobots,"Targeted delivery to tumour, clot, plaque or gut site","Magnetic, acoustic or optical fields steer microstructures",3,research programme / grant / academic spinout,"Navigation, imaging, safety, retrieval",
biology-foundation-models,Biology foundation models,C,Sequence-to-function prediction,"Annotate variants, predict fitness, and prioritise targets from sequence alone",A pretrained language model scores or embeds sequences without task-specific labels,6,seed-stage commercialisation / regulatory strategy / pilots,"Generalisation to unseen families, calibration, wet-lab confirmation",EvolutionaryScale | Basecamp Research
biology-foundation-models,Biology foundation models,C,Virtual cell and perturbation prediction,Predict how a cell responds to a drug or genetic edit in silico,Models trained on single-cell and perturbation atlases predict expression shifts,4,translational startup / prototype / first clinical collaborator,"Data coverage, causal validity, out-of-distribution perturbations",Recursion | insitro
biosimulation-qsp,Biosimulation and quantitative systems pharmacology,C,PBPK and QSP mechanistic simulation,"dose selection, drug-drug interaction, and pediatric or organ-impairment predictions accepted in regulatory filings","mechanistic ODE models of absorption, distribution, and pathway biology run on virtual patient populations",8,product differentiation / distribution / data moat,mechanistic models need calibration data and are hard to build for poorly understood diseases,Certara | FireQSP
biosimulation-qsp,Biosimulation and quantitative systems pharmacology,C,clinical-trial digital twins and prognostic control arms,smaller control arms or single-arm-plus-twin trials via per-patient forecasted outcomes,ML models trained on historical trial and RWD forecast each patient's untreated trajectory as a synthetic comparator,6,seed-stage commercialisation / regulatory strategy / pilots,"regulator acceptance of synthetic controls is case-by-case, and forecasts inherit historical-data bias",
cell-free-synthetic-biology,Cell-free synthetic biology,E,Freeze-dried programmable diagnostics,"Paper, saliva, or urine tests that compute biological logic",Cell-free circuits express a reporter only when the target input is present,5,translational startup / prototype / first clinical collaborator,"Shelf stability, multiplexing, false positives, regulatory standardisation",Sherlock Biosciences | LogicInk
cell-free-synthetic-biology,Cell-free synthetic biology,E,Rapid protein and enzyme prototyping,"Faster biosensor, enzyme, and therapeutic-protein screening",Cell-free expression tests many constructs without live-cell cloning,5,translational startup / prototype / first clinical collaborator,"Cost, scale, post-translational modification limits",
cell-free-synthetic-biology,Cell-free synthetic biology,E,Distributed biomanufacturing,"On-demand production of biologics, enzymes, vaccines or reagents",Lyophilised cell-free systems produce proteins when rehydrated,4,translational startup / prototype / first clinical collaborator,"Yield, QC, contamination, GMP pathway",
crispr-diagnostics,CRISPR diagnostics,D,Sequence-specific pathogen detection,"Home infectious-disease panels, outbreak testing, AMR detection",Cas12 or Cas13 recognition activates reporter cleavage,7,seed-stage commercialisation / regulatory strategy / pilots,"Sample prep, contamination, quantitative accuracy",Sherlock Biosciences | Cardea Bio
crispr-diagnostics,CRISPR diagnostics,D,Mutation and oncology detection,"Cancer mutation panels, MRD, liquid biopsy",Guide RNA discriminates a target mutation and triggers an amplified signal,5,translational startup / prototype / first clinical collaborator,"Sensitivity, false positives, ctDNA abundance, clinical validation",
crispr-diagnostics,CRISPR diagnostics,D,Genotyping and pharmacogenomics,Cheap SNP and variant testing,CRISPR guide specificity distinguishes alleles,5,translational startup / prototype / first clinical collaborator,"Multiplexing, reimbursement, sample prep",
dna-archival-storage,DNA archival storage,D,Archival digital storage,"Ultra-dense, low-energy cold-data archives that outlive tape","Digital bits are encoded into DNA sequence, stored dry, and read by sequencing",6,seed-stage commercialisation / regulatory strategy / pilots,"Write cost, write speed, random access, error correction",Biomemory | Atlas Data Storage
dna-archival-storage,DNA archival storage,D,DNA-based compute and search on stored data,Querying or filtering archives without sequencing the whole pool,Molecular operations select or transform strands directly in the DNA pool,3,research programme / grant / academic spinout,"Reliable random access, primitive operation set, error accumulation",Biomemory | Catalog Technologies
electrochemical-aptamer-biosensing,Electrochemical Aptamer-Based Biosensing,D,Reversible electrochemical molecular recognition,"Continuous ISF, sweat, and saliva monitoring for hormones, drugs, cytokines, metabolites",Target binding changes aptamer conformation and moves a redox tag relative to the electrode,5,translational startup / prototype / first clinical collaborator,"Fouling, drift, inter-person calibration, analyte ISF-to-blood validity",Level Zero Health | Adaptyx Biosciences
electrochemical-aptamer-biosensing,Electrochemical Aptamer-Based Biosensing,D,Label-free charge-based recognition (aptamer-FET),"Low-power wearable or implantable sensors for proteins, hormones, metabolites",Target binding changes surface charge and gates a transistor channel,4,translational startup / prototype / first clinical collaborator,"Debye screening in biofluids, non-specific binding, device reproducibility",
electrochemical-aptamer-biosensing,Electrochemical Aptamer-Based Biosensing,D,Antibody-free point-of-care aptasensors,"Cheap home tests for small molecules, toxins, hormones, drugs","Aptamer binding triggers colour, fluorescence, nanoparticle aggregation, or strand displacement",6,seed-stage commercialisation / regulatory strategy / pilots,Sensitivity and specificity versus antibodies in real samples,
engineered-cell-therapy,Engineered Cell Therapy,E,Off-the-shelf allogeneic cell products,"Banked, ready-to-infuse cell therapy with no leukapheresis or per-patient manufacturing wait","Non-MHC-restricted gamma-delta or unconventional T cells from a healthy donor are engineered, expanded, and cryobanked as many doses",5,translational startup / prototype / first clinical collaborator,"In-vivo persistence, dose durability, solid-tumour trafficking, manufacturing scale",Adicet Bio | TC BioPharm | Century Therapeutics
engineered-cell-therapy,Engineered Cell Therapy,E,Sonogenetic and synthetic-biology-controlled cell switches,"Cell therapies whose activity can be turned on, off, or focused to a tissue by an external signal to limit toxicity","Engineered receptors or ion channels let ultrasound, light, or a small molecule gate the cell's killing or cytokine output",3,research programme / grant / academic spinout,"Reliable in-vivo actuation, spatial precision, safety of the control circuit",academic (sonogenetics groups); early-stage
