id,name,substrate_family,substrate_tags,enabled_by,mechanism,new_capability,what_it_could_unlock,use_cases,technology_readiness_level,evidence_level,translational_gap,what_needs_to_happen,closest_companies,closest_labs,commercialisation_status,regulatory_complexity,capex_intensity,defensibility,notes,last_verified
ai-lnp-design,AI for mRNA / LNP design,C,C.1 | C.2,"Machine-learning models trained on large, systematically generated LNP screening datasets and mRNA expression data, coupled to high-throughput formulation and in-vivo readouts","ML models learn structure-property relationships across chemical libraries to predict ionizable-lipid performance, endosomal escape, and tissue tropism, and to optimise mRNA UTRs and codons, then generative and evolutionary methods propose new candidates","Replaces trial-and-error formulation chemistry with in-silico design of novel ionizable lipids and expression-optimised mRNA, aimed directly at extrahepatic targeting","Cell- and tissue-selective LNPs (SORT-style) and high-expression mRNA designed computationally rather than screened, breaking the liver-targeting default",Novel ionizable lipid discovery | Extrahepatic / cell-selective LNP targeting | mRNA UTR and codon optimisation for expression | Toxicity and developability prediction for formulations,5,in_vivo_animal,"Training data is proprietary and expensive to generate, predictions still need wet-lab confirmation, and no AI-designed LNP has reached the clinic; models generalise poorly across cell types and species","Larger shared datasets, better in-vitro-to-in-vivo and cross-species translation, and a clinical candidate whose lipid or mRNA came from an AI pipeline",Mana.bio | Aganitha AI | Atomic AI | InstaDeep (BioNTech) | Kerna Health | Raina Biosciences,Daniel Anderson Lab (MIT) | James Dahlman Lab (Georgia Tech),pilot_deployment,medium,medium,medium,"Mana.bio runs a Learn-Design-Make-Generate loop, reporting >45,000 experimental data points across 4,300+ formulations and evolutionary lipid design; published AI-designed LNPs for pulmonary gene therapy (Nat Biotechnol 2024). InstaDeep acquired by BioNTech. Value depends on proprietary screening data, hence medium defensibility.",2026-07-06
ai-medical-imaging,AI medical imaging,C,C.3 | D.2,"Deep learning on large labelled image corpora (CT, MRI, X-ray, whole-slide pathology, retinal fundus), digital slide scanners, and cloud GPU training plus a maturing FDA 510(k) pathway for imaging software","Convolutional and transformer networks learn to detect, quantify, and triage findings directly from medical images, flagging critical cases and producing quantitative measurements that a clinician reviews","Automated triage and quantification across radiology and pathology at scale, moving from single-task detectors toward multi-condition imaging foundation models","Routine screening and triage where every scan is pre-read by a model, surfacing critical findings first and freeing scarce radiologist and pathologist time","Emergency CT triage for stroke, pulmonary embolism, and intracranial haemorrhage | Digital-pathology primary diagnosis and biomarker prediction from H&E slides | Screening reads for mammography, retinal disease, and lung nodules | Full-body preventive imaging interpretation",8,regulatory_cleared,"Models trained at one site or on one scanner often degrade elsewhere, so generalisation and continuous monitoring remain hard; reimbursement is patchy and workflow integration into PACS/EHR plus clinician trust gate adoption more than raw accuracy","Robust cross-scanner generalisation, prospective multi-site validation, clear reimbursement codes, and tight PACS/EHR workflow integration; pathology also needs broad slide digitisation",Aidoc | Paige | PathAI | Forus Health | Neko Health,Faisal Mahmood Lab (Harvard/BWH) | Center for Clinical Data Science (Mass General Brigham) | Andrew Ng / Stanford ML Group (radiology AI),commercial_scaled,high,medium,medium,"TRL 8 overall. Many single-task detectors are FDA-cleared and marketed (TRL 9); multi-condition imaging foundation models (Aidoc CARE, 11 newly cleared indications, Jan 2026) and digital pathology (Paige acquired by Tempus Aug 2025; PathAI AISight Dx cleared Jun 2025) are newer. Full-body preventive scan players (Neko) sit earlier on evidence.",2026-07-07
ai-trial-operations,AI for clinical trial operations,B,B.4,"NLP over unstructured clinical notes, LLMs for document generation, and marketplaces or networks that connect sponsors to sites and patients","AI reads clinical records and trial protocols to match patients, select sites, drive recruitment, and automate regulatory and safety documents",automate the operational bottlenecks of running a trial: finding the right patients and sites and producing the paperwork,"trials that recruit faster and cost less by removing manual matching, feasibility, and document work",patient identification and pre-screening for enrolment | site selection and trial feasibility forecasting | recruitment and decentralised or direct-to-patient enrolment | regulatory submission and pharmacovigilance document drafting,8,real_world_proven,"the tools are deployed in real trials, but value depends on EHR access, data quality, and slow site and sponsor workflow adoption, and regulated document generation still needs human sign-off","broader EHR interoperability, proof of enrolment and cost gains at scale, and validated human-in-the-loop autonomy for regulated documents",Deep 6 AI | Inato | Lindus Health | Paradigm | Lokavant | ArisGlobal | Yseop,academic clinical-informatics and trial-methodology groups,commercial_scaled,medium,low,medium,"Deep 6 AI and Inato lead matching and site marketplaces; Lindus Health (raised $55M Series B, Jan 2025) runs an AI-native CRO model; ArisGlobal and Yseop focus on safety and regulatory document automation. Value is real but gated by EHR access and workflow adoption.",2026-07-07
biohybrid-microbots,Biohybrid xenobots / microbots,E,E.1,"AI evolutionary design that searches for cell-cluster morphologies with a target behaviour, combined with the ability to assemble living cells (frog skin/muscle, or human tissue) into free-moving self-organising constructs","A simulator plus evolutionary algorithm proposes a body shape; researchers sculpt living cells into that shape, and the resulting construct moves via cilia beating or muscle contraction and can perform simple tasks","Programmable multicellular machines designed in silico and built from living cells, moving and acting without motors, batteries, or foreign materials the body would reject","Non-invasive internal tissue repair, targeted drug delivery, and debris or plaque clearance by biocompatible constructs that the immune system does not attack","Targeted, non-invasive internal tissue repair | Arterial plaque or debris clearance | Immune-tolerated drug delivery from the patient's own cells | Environmental sensing and microplastic collection | Basic-science probes of morphogenesis and collective cell behaviour",3,in_vitro,"Everything demonstrated in a dish or embryo context; no control system for steering constructs in a living body, no dosing/clearance/safety framework, short lifespan, and no path to manufacture at scale or from patient-matched human cells","Closed-loop control and steering in vivo, human-cell (anthrobot) constructs with defined lifespan and clearance, and a regulatory and safety model for a self-organising living therapeutic",(early / mostly pre-company; no scaled commercial player),"Michael Levin Lab (Tufts / Allen Discovery Center) | Josh Bongard Lab (University of Vermont) | Wyss Institute (Douglas Blackiston, Harvard) | Bradley Nelson Lab (ETH Zurich, microrobotics) | Metin Sitti Lab (Max Planck, biohybrid microrobots)",research_only,very-high,high,high,"Xenobots were first built from Xenopus frog cells (2020) and shown to self-replicate kinematically (2021); 2023-2025 work extended to human-cell ""anthrobots"" and to constructs actuated by cilia or muscle. Medical use remains speculative and lab-bound.",2026-07-06
biology-foundation-models,Biology foundation models,C,C.1 | C.4,"transformer architectures trained on internet-scale sequence and multi-omic data, plus the compute to train them","a single large model learns the statistics of protein, DNA, RNA, or cell state and can be prompted or fine-tuned for many downstream tasks","one pretrained model that predicts structure, function, and design across biology instead of one bespoke model per task","a general-purpose reasoning layer for biology that new sensors, therapeutics, and diagnostics all build on",target discovery and variant effect prediction | protein and antibody design priors | virtual cell and perturbation modelling,5,in_vitro,"models are fluent on public sequence data but weak on causal, in-vivo, and clinical prediction, and validation still requires the wet lab","proprietary experimental data flywheels and benchmarks that measure real design or prediction success, not just held-out perplexity",EvolutionaryScale | Basecamp Research | Recursion | insitro,academic protein language model and single-cell foundation model groups,pilot_deployment,low,high,high,"Distinct from protein-design-diffusion-models: this is the general pretrained substrate (sequence and cell state), while diffusion models are the generative design layer that often sits on top of it.",2026-07-07
biosimulation-qsp,Biosimulation and quantitative systems pharmacology,C,C.3,"mechanistic ODE models of physiology and pharmacology, coupled to virtual patient populations and, increasingly, ML surrogates trained on trial and RWD","physiology-based and systems-pharmacology models simulate how a drug moves, acts, and produces outcomes in virtual patients before or alongside a real trial","simulate drug exposure, response, and trial outcomes in silico to shrink, augment, or de-risk real clinical trials","a modelling layer that lets a sponsor test dose, endpoint, and population choices computationally before committing patients and capital",dose and regimen selection before first-in-human | drug-drug-interaction and special-population predictions for labels | trial digital twins and prognostic control arms to cut sample size | in-silico trials for ultra-rare diseases with too few patients,7,clinical_validated,"PBPK is regulatory-mature but QSP and trial digital twins are trusted mostly as supporting evidence, not as replacements for pivotal data, and each new disease needs its own calibrated model",clearer regulatory frameworks for synthetic controls plus mechanistic-plus-ML hybrids that generalise beyond well-characterised drugs,Certara | VeriSIM Life | QuantHealth | Unlearn | FireQSP,academic systems-pharmacology and pharmacometrics groups,commercial_early,high,medium,high,"Certara Simcyp PBPK is the mature, regulator-accepted end (TRL 8); Unlearn digital twins and QuantHealth or VeriSIM in-silico trials sit earlier and lean on ML. FDA model-informed drug development guidance is the main tailwind.",2026-07-07
cell-free-synthetic-biology,Cell-free synthetic biology,E,E.1 | D.2,"Lyophilisation (freeze-drying) of cell extracts and purified transcription-translation machinery onto paper or fabric, keeping genetic circuits active without live cells or a cold chain","Genetic sensor-actuator circuits run in a tube-free extract, so a target molecule triggers transcription-translation that produces a colour, fluorescence, or logic output","Programmable biochemical logic (""if A and B then signal"") executed outside any living cell, freeze-dried and rehydrated at the point of need",Refrigeration-free diagnostic strips and wearable biosensors that compute on the body without instruments or lab infrastructure,Point-of-care pathogen and toxin tests that combine multiple sensor inputs | Refrigeration-free field diagnostics for low-resource settings | Wearable biocomputing tattoos and skin patches that report exposure or biomarker state | Environmental water-quality and contaminant monitoring strips | Low-cost education and biosensing kits,5,in_vitro,"Shelf stability across temperature and humidity, reliable multiplexing of many circuits on one strip, quantitation rather than yes/no readouts, and the absence of a regulatory standard for a computing diagnostic substrate","Demonstrated multi-month field stability, standardised manufacturing of freeze-dried reactions, and a regulatory pathway that treats programmable cell-free logic as a validated diagnostic class",Sherlock Biosciences (INSPECTR instrument-free platform) | LogicInk (colour-changing wearable biosensor tattoos) | Stemloop,James Collins Lab (MIT / Wyss Institute) | Keith Pardee Lab (University of Toronto) | Julius Lucks Lab (Northwestern),pilot_deployment,high,medium,medium,The freeze-dried paper diagnostic proof of concept dates to the 2014-2016 Zika/Ebola work from the Collins and Pardee labs; commercial translation is still narrow and single-analyte in practice.,2026-07-06
crispr-diagnostics,CRISPR diagnostics,D,D.2,"Programmable collateral cleavage of Cas12/Cas13 nucleases, plus graphene field-effect-transistor CRISPR sensors that read intact genomic DNA electronically without PCR amplification",A guide RNA directs a Cas nuclease to a target sequence; recognition either triggers collateral cleavage of a reporter (fluorescence or lateral-flow line) or shifts current on a CRISPR-functionalised transistor,"Nucleic-acid detection at high specificity in minutes at the point of care, with amplification-free electronic readout that can read unamplified genomic DNA","Home and clinic pathogen panels, antimicrobial-resistance genotyping, and cancer-mutation tests without a central molecular lab",Home and point-of-care infectious-disease panels | Antimicrobial-resistance gene detection to guide antibiotic choice | Cancer mutation and liquid-biopsy genotyping | Rapid outbreak and biosurveillance testing | Single-nucleotide-variant discrimination for genetic tests,7,regulatory_cleared,"Amplification-based formats risk contamination and struggle with quantitation, sample preparation is still manual, and amplification-free electronic formats have not matched the clinical sensitivity of PCR at scale","Integrated sample-to-answer cartridges, validated amplification-free sensitivity in clinical samples, and manufacturing that holds cost below existing rapid antigen and PCR tests",Sherlock Biosciences | Mammoth Biosciences | Cardea Bio (graphene-FET CRISPR-Chip) | Crepurpose / Nuclein,"Feng Zhang Lab (Broad Institute) | Jennifer Doudna Lab (UC Berkeley / IGI) | Kiana Aran Lab (Keck Graduate Institute, CRISPR-Chip)",commercial_early,high,medium,high,"SHERLOCK received an FDA EUA for SARS-CoV-2 in 2020, establishing the regulatory precedent; amplification-free electronic CRISPR (CRISPR-Chip / CRISPR-FET) is the frontier and remains earlier stage than the amplification-based lateral-flow formats.",2026-07-06
dna-archival-storage,DNA archival storage,D,B.6 | D.2,"enzymatic, template-independent DNA synthesis on semiconductor chips plus high-throughput sequencing, which together make writing and reading arbitrary digital data in DNA cheap and parallel enough to compete with tape for cold archives","digital bits are mapped to nucleotide sequences, written by chip-controlled enzymatic synthesis into pooled DNA strands, stored dry at room temperature, and later read back by sequencing with error-correcting codecs",petabyte-class digital archives at molecular density that survive for decades to centuries without power,"cold-data archives orders of magnitude denser and more durable than magnetic tape, plus the eventual ability to search and compute over data while it stays in DNA","high-density, decades-durable archival cold storage | power-free offline data preservation and disaster backup | tamper-evident provenance and long-term regulatory archives | in-pool search and compute over molecular archives",6,in_vitro,"write cost and write speed are still orders of magnitude off tape, random access into a pooled archive is immature, and read latency plus error-correction overhead confine the technology to true cold data","faster, cheaper semiconductor-controlled enzymatic synthesis, robust random-access schemes, and standardised error-tolerant codecs that make write economics competitive for enterprise cold storage",Biomemory | Atlas Data Storage | Twist Bioscience | Catalog Technologies | DNA Script,Ceze and Strauss Molecular Information Systems Lab (University of Washington and Microsoft) | Church Lab (Harvard and Wyss Institute) | Grass Lab (ETH Zurich),pilot_deployment,low,high,high,"Split out from the old bundled dna-data-storage primitive to isolate the pure digital-storage mechanism from biological molecular recording. TRL 6 reflects commercial pilots: Biomemory ships dry-DNA cards rated for 50 to 150 years and acquired Catalog's enzymatic read/write assets in early 2026, while Atlas Data Storage (Twist spin-off) partnered with imec to scale chip-based synthesis toward terabyte-scale drives. Tags cross families: B.6 for the synthesis substrate, D.2 for the read side sharing sequencing hardware.",2026-07-07
electrochemical-aptamer-biosensing,Electrochemical Aptamer-Based Biosensing,D,D.1 | D.3,"SELEX-evolved DNA aptamers that fold on target binding, combined with redox reporters that convert that folding into a measurable electron-transfer change","A redox-tagged, surface-tethered aptamer changes conformation when it binds its target, altering electron transfer to the electrode and producing a reversible, real-time current shift","Reversible, reagent-free, continuous measurement of small molecules, drugs, hormones and proteins that have no natural enzyme, so no glucose-oxidase equivalent is required","A continuous glucose monitor equivalent for hundreds of analytes, closing the loop between drug dosing and real-time blood chemistry","continuous therapeutic drug monitoring (vancomycin, chemotherapy) | continuous hormone tracking (cortisol, progesterone, estradiol, testosterone) | sepsis and cytokine monitoring | sweat and saliva analyte sensing",5,human_pilot,"In-vivo biofouling and baseline drift degrade signal over hours to days; each aptamer needs its own calibration, and interstitial or sweat concentrations must be validated against blood before a reading is clinically actionable","Anti-fouling surface chemistry and drift-correction (reference channels, ratiometric or kinetic-differential measurement) that hold calibration for a wearable-length wear, plus regulatory-grade agreement studies versus blood assays",Level Zero Health | Nutromics | Adaptyx Biosciences | Xsensio,Kevin Plaxco lab (UC Santa Barbara) | Netzahualcoyotl Arroyo-Curras lab (Johns Hopkins) | Tod Kippin lab (UC Santa Barbara),pilot_deployment,high,medium,high,"The defining bet is that aptamers generalise to any target where enzymes do not exist; the recurring failure mode is drift, not recognition.",2026-07-06
